Gene,Diverse_LOF,Nfe_43k_LOF,Nfe_440k_LOF,All_LOF,afr_LOF,asj_LOF,eas_LOF,sas_LOF,nfe_20k_LOF,possible_lof,mu_mis,mu_syn,mu_lof,total_var,LOF_FDR_Diverse43k,LOF_FDR_NFE43k,LOF_FDR_NFE440k,LOF_FDR_FullDataset,LOF_FDR_AFR,LOF_FDR_ASJ,LOF_FDR_EAS,LOF_FDR_SAS,LOF_FDR_NFE20k
TMIGD3,7,3,25,30,1,0,0,4,2,NA,NA,NA,NA,269,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMLHE,6,3,15,19,0,0,1,3,2,250,9.87E-06,3.80E-06,8.29E-07,228,0.219082648,0.109541324,0.547706619,0.693761718,0,0,0.036513775,0.109541324,0.073027549
TMOD1,4,4,16,17,1,0,0,2,2,222,1.20E-05,5.11E-06,1.05E-06,333,0.098897354,0.098897354,0.395589417,0.420313756,0.024724339,0,0,0.049448677,0.049448677
TMOD2,2,2,14,15,1,0,1,1,0,216,9.04E-06,3.40E-06,9.05E-07,292,0.048727648,0.048727648,0.341093538,0.365457363,0.024363824,0,0.024363824,0.024363824,0
TMOD3,7,1,25,29,2,0,0,2,3,222,9.23E-06,3.51E-06,7.91E-07,309,0.184897242,0.026413892,0.660347294,0.766002861,0.052827784,0,0,0.052827784,0.079241675
TMOD4,14,9,36,40,2,0,2,3,8,218,1.15E-05,3.78E-06,1.27E-06,353,0.25188526,0.161926239,0.647704954,0.719672171,0.035983609,0,0.035983609,0.053975413,0.143934434
TMPO,22,16,77,85,7,0,0,5,11,302,1.66E-05,6.99E-06,9.98E-07,1041,0.243319475,0.176959618,0.851618161,0.94009797,0.077419833,0,0,0.055299881,0.121659737
TMPO-AS1,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMPPE,7,3,21,24,0,0,0,4,4,118,1.64E-05,7.72E-06,4.14E-07,491,0.383527945,0.164369119,1.150583835,1.314952954,0,0,0,0.219158826,0.219158826
TMPRSS11A,22,16,46,59,8,1,5,10,4,278,1.13E-05,4.22E-06,1.58E-06,393,0.300192241,0.21832163,0.627674685,0.805061009,0.109160815,0.013645102,0.068225509,0.136451019,0.054580407
TMPRSS11B,22,7,42,56,8,0,3,9,5,259,1.03E-05,3.30E-06,8.29E-07,408,0.448407902,0.142675242,0.85605145,1.141401933,0.163057419,0,0.061146532,0.183439596,0.101910887
TMPRSS11D,9,9,41,44,1,1,0,6,6,251,1.09E-05,3.95E-06,9.35E-07,360,0.201660675,0.201660675,0.918676406,0.985896631,0.022406742,0.022406742,0,0.13444045,0.13444045
TMPRSS11E,23,20,48,61,7,0,2,9,8,278,1.16E-05,3.91E-06,1.27E-06,435,0.338455209,0.294308878,0.706341306,0.897642076,0.103008107,0,0.029430888,0.132438995,0.117723551
TMPRSS11F,17,13,36,43,4,0,1,5,8,283,1.10E-05,3.36E-06,1.75E-06,395,0.199471785,0.152537247,0.422410838,0.504546279,0.046934538,0,0.011733634,0.058668172,0.093869075
TMPRSS12,13,8,32,41,4,0,4,6,3,155,9.45E-06,3.92E-06,5.28E-07,407,0.39120191,0.240739637,0.962958547,1.233790638,0.120369818,0,0.120369818,0.180554728,0.090277364
TMPRSS13,24,18,59,69,8,2,4,8,11,311,2.01E-05,8.63E-06,1.39E-06,684,0.357486506,0.26811488,0.878820995,1.027773706,0.119162169,0.029790542,0.059581084,0.119162169,0.163847982
TMPRSS15,54,38,110,134,13,0,4,15,28,687,2.64E-05,1.06E-05,2.80E-06,1066,0.347640876,0.244636172,0.708157341,0.862664397,0.083691322,0,0.025751176,0.09656691,0.180258232
TMPRSS2,15,18,60,67,5,1,0,2,8,358,1.97E-05,1.09E-05,1.32E-06,663,0.256641843,0.307970212,1.026567373,1.146333567,0.085547281,0.017109456,0,0.034218912,0.13687565
TMPRSS3,15,12,53,60,6,2,2,4,8,289,1.63E-05,8.44E-06,1.25E-06,598,0.245498479,0.196398783,0.86742796,0.981993916,0.098199392,0.032733131,0.032733131,0.065466261,0.130932522
TMPRSS4,22,9,45,55,9,1,2,6,9,264,1.42E-05,6.27E-06,1.11E-06,491,0.412348268,0.168687928,0.84343964,1.030870671,0.168687928,0.018743103,0.037486206,0.112458619,0.168687928
TMPRSS5,33,17,48,65,6,1,6,12,13,262,1.51E-05,6.42E-06,1.13E-06,548,0.5706645,0.293978682,0.830057455,1.124036137,0.103757182,0.017292864,0.103757182,0.207514364,0.224807227
TMPRSS6,38,32,88,104,24,5,4,6,14,474,3.28E-05,1.51E-05,2.29E-06,1054,0.371016739,0.312435149,0.859196659,1.015414234,0.234326362,0.048817992,0.039054394,0.05858159,0.136690378
TMPRSS7,29,27,69,79,10,1,6,10,13,444,2.09E-05,7.84E-06,2.05E-06,745,0.281065198,0.261681391,0.668741332,0.765660366,0.096919034,0.009691903,0.05815142,0.096919034,0.125994744
TMPRSS9,59,31,113,142,16,1,6,26,19,479,4.31E-05,2.13E-05,2.47E-06,1665,0.446559367,0.234632888,0.85527472,1.074770002,0.121100845,0.007568803,0.045412817,0.196788874,0.143807254
TMSB10,1,1,4,4,0,0,0,0,1,22,1.01E-06,4.25E-07,6.01E-08,36,0.32232426,0.32232426,1.289297042,1.289297042,0,0,0,0,0.32232426
TMSB15A,2,1,5,5,0,1,0,0,1,21,9.17E-07,4.47E-07,6.11E-08,28,0.780253553,0.390126776,1.950633881,1.950633881,0,0.390126776,0,0,0.390126776
TMSB4X,0,1,1,1,0,0,0,0,0,25,9.30E-07,5.19E-07,7.30E-08,15,0,0.655490165,0.655490165,0.655490165,0,0,0,0,0
TMSB4Y,1,0,2,3,0,0,1,0,0,19,8.08E-07,3.41E-07,4.70E-08,24,0.494836751,0,0.989673502,1.484510254,0,0,0.494836751,0,0
TMTC1,25,26,84,93,8,1,3,6,13,543,2.40E-05,9.68E-06,2.21E-06,958,0.203267998,0.211398718,0.682980473,0.756156952,0.065045759,0.00813072,0.02439216,0.048784319,0.105699359
TMTC2,14,10,51,57,5,1,0,6,4,461,2.43E-05,9.82E-06,1.78E-06,802,0.165927773,0.118519838,0.604451174,0.675563076,0.059259919,0.011851984,0,0.071111903,0.047407935
TMTC3,19,15,63,74,6,1,1,7,6,552,2.17E-05,7.29E-06,2.24E-06,740,0.173579794,0.13703668,0.575554054,0.676047619,0.054814672,0.009135779,0.009135779,0.06395045,0.054814672
TMTC4,22,18,72,87,7,1,3,5,6,450,2.56E-05,1.23E-05,1.66E-06,824,0.298055118,0.243863279,0.975453114,1.178672513,0.094835719,0.01354796,0.04064388,0.0677398,0.08128776
TMUB1,3,2,12,13,1,0,0,0,2,69,7.73E-06,4.49E-06,3.35E-07,252,0.204848457,0.136565638,0.819393827,0.887676646,0.068282819,0,0,0,0.136565638
TMUB2,12,9,23,28,3,0,2,4,5,101,1.07E-05,4.51E-06,4.81E-07,334,0.540442363,0.405331772,1.035847862,1.261032179,0.135110591,0,0.090073727,0.180147454,0.225184318
TMX1,13,4,34,38,1,1,1,2,9,202,7.60E-06,2.81E-06,8.45E-07,300,0.280452911,0.086293203,0.733492227,0.819785431,0.021573301,0.021573301,0.021573301,0.043146602,0.194159707
TMX2,13,9,30,39,9,0,0,1,3,187,9.44E-06,2.94E-06,7.92E-07,359,0.287760451,0.199218774,0.66406258,0.863281354,0.199218774,0,0,0.022135419,0.066406258
TMX2-CTNND1,2,0,1,3,1,0,0,1,0,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMX3,11,14,47,51,6,1,1,4,5,347,1.02E-05,3.48E-06,1.34E-06,419,0.14554416,0.185238021,0.6218705,0.674795649,0.079387723,0.013231287,0.013231287,0.052925149,0.066156436
TMX4,8,8,20,28,4,0,1,3,0,184,9.76E-06,3.35E-06,7.48E-07,346,0.203399127,0.203399127,0.508497819,0.711896946,0.101699564,0,0.025424891,0.076274673,0
TNC,26,22,110,121,4,1,1,12,11,1055,7.78E-05,3.37E-05,4.71E-06,2322,0.12915238,0.109282783,0.546413917,0.601055309,0.019869597,0.004967399,0.004967399,0.059608791,0.054641392
TNF,2,0,7,8,2,0,0,0,0,98,7.99E-06,3.78E-06,5.67E-07,189,0.108300037,0,0.379050129,0.433200148,0.108300037,0,0,0,0
TNFAIP1,7,9,32,34,1,0,0,1,5,170,1.40E-05,5.13E-06,7.74E-07,346,0.241861066,0.310964228,1.105650588,1.17475375,0.034551581,0,0,0.034551581,0.172757904
TNFAIP2,19,13,54,58,4,1,2,5,11,304,1.98E-05,1.00E-05,1.33E-06,795,0.261460266,0.178893866,0.743097597,0.798141864,0.055044266,0.013761067,0.027522133,0.068805333,0.151371733
TNFAIP3,3,2,13,15,1,0,0,1,1,373,2.82E-05,1.18E-05,1.74E-06,706,0.047764303,0.031842869,0.206978647,0.238821516,0.015921434,0,0,0.015921434,0.015921434
TNFAIP6,11,7,30,33,2,0,2,3,6,183,7.65E-06,3.05E-06,6.93E-07,242,0.357286643,0.227364227,0.974418118,1.07185993,0.064961208,0,0.064961208,0.097441812,0.194883624
TNFAIP8,4,1,8,12,1,0,0,3,0,82,5.15E-06,1.95E-06,2.03E-07,227,0.291621617,0.072905404,0.583243233,0.87486485,0.072905404,0,0,0.218716212,0
TNFAIP8L1,2,2,12,13,2,0,0,0,0,30,9.50E-06,4.25E-06,9.71E-08,242,0.528492525,0.528492525,3.17095515,3.435201413,0.528492525,0,0,0,0
TNFAIP8L2,4,3,5,6,0,0,0,1,3,40,7.72E-06,3.03E-06,1.16E-07,204,0.824485951,0.618364463,1.030607439,1.236728927,0,0,0,0.206121488,0.618364463
TNFAIP8L3,13,11,28,33,2,0,2,1,8,107,8.71E-06,4.05E-06,2.84E-07,303,0.899238534,0.760894144,1.936821457,2.282682432,0.13834439,0,0.13834439,0.069172195,0.553377559
TNFRSF10A,38,22,51,70,5,2,4,14,16,223,1.39E-05,6.06E-06,9.32E-07,585,0.682908455,0.395368053,0.916535031,1.257989259,0.089856376,0.03594255,0.071885101,0.251597852,0.287540402
TNFRSF10B,15,19,48,55,5,0,0,7,7,221,1.28E-05,5.84E-06,8.95E-07,503,0.306106465,0.387734856,0.979540689,1.122390372,0.102035488,0,0,0.142849684,0.142849684
TNFRSF10C,8,11,19,22,4,0,1,0,5,91,7.78E-06,2.65E-06,3.08E-07,260,0.493152307,0.678084422,1.171236728,1.356168843,0.246576153,0,0.061644038,0,0.308220192
TNFRSF10D,15,8,32,37,4,0,2,4,6,227,1.22E-05,4.94E-06,8.93E-07,425,0.335634689,0.179005168,0.716020671,0.8278989,0.089502584,0,0.044751292,0.089502584,0.134253876
TNFRSF11A,6,4,23,27,0,2,1,1,2,308,2.09E-05,1.03E-05,1.05E-06,656,0.129984223,0.086656149,0.498272856,0.584929004,0,0.043328074,0.021664037,0.021664037,0.043328074
TNFRSF11B,1,5,23,23,1,0,0,0,1,229,1.23E-05,5.62E-06,9.94E-07,372,0.024262013,0.121310066,0.558026302,0.558026302,0.024262013,0,0,0,0.024262013
TNFRSF12A,7,6,37,37,3,1,0,2,6,62,2.53E-06,1.09E-06,2.15E-07,329,0.180734143,0.154914979,0.955309039,0.955309039,0.07745749,0.025819163,0,0.051638326,0.154914979
TNFRSF13B,20,11,49,58,2,2,7,4,8,123,1.03E-05,4.43E-06,5.35E-07,380,0.697105519,0.383408036,1.707908522,2.021606006,0.069710552,0.069710552,0.243986932,0.139421104,0.278842208
TNFRSF13C,4,2,7,8,2,0,0,0,2,47,3.94E-06,2.15E-06,1.56E-07,240,0.305519024,0.152759512,0.534658292,0.611038048,0.152759512,0,0,0,0.152759512
TNFRSF14,7,7,26,30,3,0,1,3,2,164,1.06E-05,5.76E-06,6.05E-07,342,0.266947855,0.266947855,0.991520606,1.144062237,0.114406224,0,0.038135408,0.114406224,0.076270816
TNFRSF17,4,3,18,20,1,0,0,1,2,83,5.91E-06,2.61E-06,3.28E-07,244,0.205494935,0.154121201,0.924727209,1.027474676,0.051373734,0,0,0.051373734,0.102747468
TNFRSF18,23,13,42,55,10,0,2,10,6,70,9.40E-06,4.61E-06,2.72E-07,459,1.198500079,0.677413088,2.188565361,2.865978449,0.521086991,0,0.104217398,0.521086991,0.312652194
TNFRSF19,2,4,26,26,1,0,0,0,1,192,1.45E-05,7.25E-06,6.14E-07,444,0.075441191,0.150882381,0.980735478,0.980735478,0.037720595,0,0,0,0.037720595
TNFRSF1A,13,9,32,37,4,1,1,3,7,254,1.72E-05,8.39E-06,9.52E-07,544,0.309837217,0.214502689,0.762676227,0.881844388,0.095334528,0.023833632,0.023833632,0.071500896,0.166835425
TNFRSF1B,4,4,21,22,1,1,0,0,2,228,1.74E-05,8.83E-06,9.15E-07,483,0.113818232,0.113818232,0.597545719,0.626000277,0.028454558,0.028454558,0,0,0.056909116
TNFRSF21,1,0,16,17,1,0,0,0,0,247,2.18E-05,9.41E-06,9.27E-07,611,0.026147265,0,0.418356236,0.444503501,0.026147265,0,0,0,0
TNFRSF25,11,9,37,42,4,0,0,3,4,241,1.83E-05,8.86E-06,1.22E-06,524,0.22842909,0.186896528,0.768352394,0.872183798,0.083065124,0,0,0.062298843,0.083065124
TNFRSF4,10,5,27,30,2,0,1,2,6,130,1.10E-05,5.49E-06,4.22E-07,377,0.486946705,0.243473352,1.314756103,1.460840115,0.097389341,0,0.04869467,0.097389341,0.292168023
TNFRSF6B,13,10,45,50,3,0,1,4,8,79,1.38E-05,6.50E-06,3.75E-07,598,0.544256094,0.418658534,1.883963403,2.09329267,0.12559756,0,0.041865853,0.167463414,0.334926827
TNFRSF8,2,6,31,31,0,0,0,0,2,341,2.33E-05,1.22E-05,1.91E-06,662,0.028082246,0.084246737,0.435274806,0.435274806,0,0,0,0,0.028082246
TNFRSF9,7,3,21,24,2,0,0,3,2,149,8.10E-06,3.46E-06,6.98E-07,270,0.216957195,0.092981655,0.650871585,0.74385324,0.06198777,0,0,0.092981655,0.06198777
TNFSF10,6,5,16,17,1,0,0,0,5,176,7.15E-06,2.68E-06,6.67E-07,287,0.158009275,0.131674396,0.421358066,0.447692945,0.026334879,0,0,0,0.131674396
TNFSF11,6,8,19,20,2,0,0,2,4,169,8.59E-06,3.46E-06,6.56E-07,305,0.180195661,0.240260881,0.570619592,0.600652202,0.06006522,0,0,0.06006522,0.12013044
TNFSF12,4,2,16,19,0,0,0,3,1,222,1.01E-05,4.13E-06,1.37E-06,275,0.082048006,0.041024003,0.328192023,0.389728027,0,0,0,0.061536004,0.020512001
TNFSF12-TNFSF13,2,0,16,17,1,0,0,0,1,222,1.01E-05,4.13E-06,1.37E-06,146,0.077271238,0,0.618169906,0.656805525,0.038635619,0,0,0,0.038635619
TNFSF13,5,3,13,15,0,1,0,1,3,143,7.22E-06,3.11E-06,7.97E-07,87,0.388648044,0.233188826,1.010484914,1.165944131,0,0.077729609,0,0.077729609,0.233188826
TNFSF13B,1,1,14,14,1,0,0,0,0,159,7.13E-06,3.03E-06,5.81E-07,226,0.038825679,0.038825679,0.543559509,0.543559509,0.038825679,0,0,0,0
TNFSF14,3,2,14,16,0,0,1,2,1,107,1.07E-05,4.02E-06,6.66E-07,272,0.119386027,0.079590685,0.557134795,0.63672548,0,0,0.039795342,0.079590685,0.039795342
TNFSF15,2,5,15,17,1,0,0,1,0,121,6.99E-06,2.92E-06,7.03E-07,287,0.050610316,0.126525789,0.379577367,0.430187682,0.025305158,0,0,0.025305158,0
TNFSF18,8,4,13,19,2,1,2,4,2,91,4.47E-06,1.65E-06,2.95E-07,181,0.451367744,0.225683872,0.733472584,1.071998392,0.112841936,0.056420968,0.112841936,0.225683872,0.112841936
TNFSF4,1,0,6,6,0,0,0,0,1,39,4.37E-06,1.80E-06,1.39E-07,161,0.129070454,0,0.774422725,0.774422725,0,0,0,0,0.129070454
TNFSF8,4,1,12,13,0,0,0,1,3,116,6.43E-06,3.22E-06,3.82E-07,248,0.197285738,0.049321435,0.591857214,0.641178649,0,0,0,0.049321435,0.147964304
TNFSF9,4,2,21,21,1,0,0,0,3,43,8.92E-06,4.97E-06,1.80E-07,326,0.432048739,0.21602437,2.268255882,2.268255882,0.108012185,0,0,0,0.324036555
TNIK,5,7,31,33,1,0,1,1,2,945,4.27E-05,1.48E-05,5.33E-06,1006,0.028789658,0.040305522,0.178495881,0.190011745,0.005757932,0,0.005757932,0.005757932,0.011515863
TNIP1,9,7,31,36,0,0,1,4,4,434,2.27E-05,8.21E-06,1.79E-06,670,0.116610358,0.090696945,0.401657901,0.466441434,0,0,0.012956706,0.051826826,0.051826826
TNIP2,12,13,41,45,5,0,0,3,4,188,1.55E-05,7.37E-06,1.18E-06,578,0.199983826,0.216649144,0.683278071,0.749939346,0.083326594,0,0,0.049995956,0.066661275
TNIP3,9,5,41,47,2,0,2,2,3,320,1.02E-05,4.20E-06,1.25E-06,392,0.14051343,0.078063017,0.640116736,0.733792355,0.031225207,0,0.031225207,0.031225207,0.04683781
TNK1,30,19,52,68,12,1,2,10,12,294,2.20E-05,8.75E-06,1.24E-06,736,0.48956515,0.310057929,0.848579594,1.109681007,0.19582606,0.016318838,0.032637677,0.163188383,0.19582606
TNK2,51,41,157,174,21,0,5,9,24,448,4.79E-05,2.18E-05,2.29E-06,1935,0.383453711,0.308266709,1.180435933,1.308253837,0.157892704,0,0.037593501,0.067668302,0.180448805
TNKS,9,10,80,82,2,0,1,1,6,753,3.86E-05,1.70E-05,3.07E-06,1654,0.049186327,0.054651475,0.437211796,0.448142091,0.010930295,0,0.005465147,0.005465147,0.032790885
TNKS1BP1,18,20,83,90,6,1,0,7,8,697,5.77E-05,2.55E-05,3.13E-06,1969,0.117097031,0.130107812,0.539947419,0.585485153,0.039032344,0.006505391,0,0.045537734,0.052043125
TNKS2,11,12,67,72,1,0,0,4,6,767,2.81E-05,1.08E-05,3.10E-06,994,0.072688998,0.079297088,0.442742077,0.47578253,0.006608091,0,0,0.026432363,0.039648544
TNMD,4,5,15,17,1,0,2,0,1,221,9.30E-06,2.99E-06,1.09E-06,199,0.120449249,0.150561561,0.451684683,0.511909307,0.030112312,0,0.060224624,0,0.030112312
TNN,45,28,113,130,12,2,4,12,19,643,4.67E-05,2.15E-05,2.97E-06,1571,0.32143328,0.20000293,0.807154681,0.928585031,0.085715541,0.014285924,0.028571847,0.085715541,0.135716274
TNNC1,5,1,11,15,0,1,1,2,1,104,6.39E-06,3.32E-06,3.53E-07,136,0.486497862,0.097299572,1.070295296,1.459493585,0,0.097299572,0.097299572,0.194599145,0.097299572
TNNC2,4,1,11,14,2,0,0,1,1,103,5.87E-06,2.73E-06,3.59E-07,139,0.335163202,0.083790801,0.921698806,1.173071208,0.167581601,0,0,0.083790801,0.083790801
TNNI1,4,4,11,14,2,0,0,1,1,140,8.77E-06,3.05E-06,6.55E-07,171,0.210973468,0.210973468,0.580177036,0.738407137,0.105486734,0,0,0.052743367,0.052743367
TNNI2,8,10,18,21,1,0,0,3,4,127,8.46E-06,3.54E-06,4.28E-07,227,0.474533337,0.593166672,1.067700009,1.24565001,0.059316667,0,0,0.177950001,0.237266669
TNNI3,6,7,25,27,1,0,1,1,3,147,8.51E-06,3.08E-06,7.23E-07,251,0.194263988,0.22664132,0.809433285,0.874187948,0.032377331,0,0.032377331,0.032377331,0.097131994
TNNI3K,54,28,95,123,18,1,9,11,22,694,2.51E-05,8.96E-06,2.99E-06,905,0.361755222,0.187576782,0.636421224,0.823998006,0.120585074,0.006699171,0.060292537,0.073690879,0.147381757
TNNT1,11,12,37,43,3,0,0,4,5,262,1.21E-05,3.85E-06,8.48E-07,369,0.278582763,0.303908469,0.937051114,1.089005348,0.075977117,0,0,0.101302823,0.126628529
TNNT2,16,13,38,44,5,1,1,3,7,296,1.09E-05,3.56E-06,1.35E-06,272,0.340356212,0.276539422,0.808346004,0.935979584,0.106361316,0.021272263,0.021272263,0.06381679,0.148905843
TNNT3,17,7,34,40,6,0,1,2,9,279,9.99E-06,3.56E-06,1.21E-06,283,0.359810216,0.148157148,0.719620432,0.846612273,0.126991841,0,0.021165307,0.042330614,0.190487761
TNP1,1,1,3,3,1,0,0,0,0,29,2.82E-06,6.86E-07,2.02E-07,67,0.130469239,0.130469239,0.391407716,0.391407716,0.130469239,0,0,0,0
TNP2,10,5,18,23,4,0,1,1,5,44,5.27E-06,1.52E-06,1.52E-07,207,1.008939365,0.504469682,1.816090856,2.320560539,0.403575746,0,0.100893936,0.100893936,0.504469682
TNPO1,1,1,10,10,0,0,0,0,1,631,2.47E-05,8.64E-06,2.67E-06,561,0.011687915,0.011687915,0.116879148,0.116879148,0,0,0,0,0.011687915
TNPO2,15,6,33,42,5,0,0,7,5,545,3.19E-05,1.59E-05,2.26E-06,686,0.227714188,0.091085675,0.500971214,0.637599727,0.075904729,0,0,0.106266621,0.075904729
TNPO3,13,14,76,80,3,0,0,4,7,610,2.86E-05,9.79E-06,3.55E-06,820,0.091978645,0.099053925,0.537721309,0.56602243,0.021225841,0,0,0.028301122,0.049526963
TNR,6,4,55,56,0,1,0,1,4,700,4.80E-05,2.14E-05,4.37E-06,1367,0.035391474,0.023594316,0.324421846,0.330320425,0,0.005898579,0,0.005898579,0.023594316
TNRC18,37,28,114,126,21,11,11,16,19,1148,0.00011406,6.11E-05,4.04E-06,4860,0.154361184,0.116813869,0.475599325,0.525662412,0.087610402,0.045891163,0.045891163,0.066750782,0.079266554
TNRC6A,3,10,57,59,2,0,0,0,1,1050,5.58E-05,2.12E-05,5.02E-06,1841,0.01274241,0.042474698,0.242105781,0.250600721,0.00849494,0,0,0,0.00424747
TNRC6B,14,7,62,71,7,0,1,2,4,928,5.22E-05,2.28E-05,4.85E-06,1680,0.065693849,0.032846925,0.290929904,0.333161664,0.032846925,0,0.004692418,0.009384836,0.018769671
TNRC6C,4,10,38,38,0,0,0,0,4,761,5.31E-05,2.50E-05,3.41E-06,1885,0.023688121,0.059220303,0.225037153,0.225037153,0,0,0,0,0.023688121
TNS1,12,8,51,55,1,0,2,3,6,797,6.27E-05,2.75E-05,4.10E-06,1896,0.068171978,0.045447985,0.289730908,0.3124549,0.005680998,0,0.011361996,0.017042995,0.034085989
TNS2,25,24,96,107,5,1,2,7,12,NA,NA,NA,NA,1559,NA,NA,NA,NA,NA,NA,NA,NA,NA
TNS3,11,6,45,51,3,1,0,3,4,723,5.25E-05,2.66E-05,3.07E-06,1619,0.084680504,0.046189366,0.346420244,0.39260961,0.023094683,0.007698228,0,0.023094683,0.030792911
TNS4,13,14,52,57,5,0,0,2,6,331,2.22E-05,9.86E-06,1.95E-06,742,0.145737361,0.156947927,0.582949445,0.639002276,0.056052831,0,0,0.022421132,0.067263397
TNXB,52,56,229,245,9,3,6,12,31,324,1.60E-05,7.74E-06,1.10E-06,4382,0.125709287,0.135379232,0.55360436,0.592284141,0.021757377,0.007252459,0.014504918,0.029009835,0.074942075
TOB1,0,0,3,3,0,0,0,0,0,121,9.63E-06,3.74E-06,4.09E-07,274,0,0,0.169912372,0.169912372,0,0,0,0,0
TOB2,0,0,5,5,0,0,0,0,0,93,1.20E-05,5.40E-06,3.00E-07,366,0,0,0.365263676,0.365263676,0,0,0,0,0
TOE1,17,13,56,63,2,0,2,6,9,250,1.78E-05,6.05E-06,1.33E-06,518,0.294564883,0.225255499,0.97033138,1.091622802,0.034654692,0,0.034654692,0.103964076,0.155946115
TOGARAM1,36,34,120,136,11,1,1,10,14,NA,NA,NA,NA,1695,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOGARAM2,36,25,86,100,10,1,6,13,18,NA,NA,NA,NA,1246,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOLLIP,5,5,18,22,1,0,0,3,1,133,1.26E-05,6.47E-06,6.32E-07,324,0.222677548,0.222677548,0.801639173,0.979781211,0.04453551,0,0,0.133606529,0.04453551
TOM1,11,9,47,51,4,1,2,3,5,290,1.89E-05,9.37E-06,1.61E-06,534,0.180910376,0.14801758,0.772980697,0.838766288,0.065785591,0.016446398,0.032892796,0.049339193,0.082231989
TOM1L1,24,17,60,72,9,1,2,6,8,338,1.17E-05,4.56E-06,1.39E-06,458,0.325869009,0.230823881,0.814672523,0.977607027,0.122200878,0.013577875,0.027155751,0.081467252,0.108623003
TOM1L2,7,7,33,35,1,1,0,1,4,313,1.87E-05,8.25E-06,2.08E-06,575,0.08226556,0.08226556,0.387823354,0.411327799,0.011752223,0.011752223,0,0.011752223,0.047008891
TOMM20,2,1,15,15,0,0,0,0,2,104,3.32E-06,1.30E-06,4.42E-07,117,0.096620813,0.048310407,0.724656101,0.724656101,0,0,0,0,0.096620813
TOMM20L,11,7,23,27,3,3,1,3,6,105,4.02E-06,1.59E-06,3.42E-07,189,0.482345302,0.306947011,1.008540177,1.183938469,0.131548719,0.131548719,0.043849573,0.131548719,0.263097438
TOMM22,0,0,4,4,0,0,0,0,0,78,3.91E-06,1.70E-06,3.07E-07,165,0,0,0.221440767,0.221440767,0,0,0,0,0
TOMM34,4,2,16,17,1,0,0,0,3,198,8.45E-06,3.43E-06,9.72E-07,276,0.09325364,0.04662682,0.373014559,0.396327969,0.02331341,0,0,0,0.06994023
TOMM40,4,2,17,20,2,0,1,0,1,179,1.02E-05,4.78E-06,6.19E-07,399,0.117937943,0.058968972,0.501236258,0.589689715,0.058968972,0,0.029484486,0,0.029484486
TOMM40L,1,5,18,19,0,0,0,1,0,178,9.38E-06,3.65E-06,7.66E-07,250,0.034251164,0.171255819,0.616520947,0.65077211,0,0,0,0.034251164,0
TOMM5,4,2,13,15,1,0,2,1,0,25,2.54E-06,1.14E-06,8.03E-08,117,0.731920013,0.365960006,2.378740041,2.744700047,0.182980003,0,0.365960006,0.182980003,0
TOMM6,3,0,5,6,1,0,0,0,2,28,1.93E-06,7.27E-07,1.15E-07,86,0.393339749,0,0.655566249,0.786679499,0.13111325,0,0,0,0.2622265
TOMM7,5,0,15,16,0,0,0,1,4,40,1.30E-06,5.16E-07,1.57E-07,131,0.233620381,0,0.700861143,0.747585219,0,0,0,0.046724076,0.186896305
TOMM70,2,1,17,17,0,0,0,0,2,NA,NA,NA,NA,501,NA,NA,NA,NA,NA,NA,NA,NA,NA
TONSL,45,36,147,169,13,0,4,17,16,673,5.27E-05,2.28E-05,3.07E-06,1772,0.302459486,0.241967589,0.98803432,1.135903402,0.087377185,0,0.026885288,0.114262472,0.10754115
TOP1,1,2,4,5,0,0,0,1,0,597,2.22E-05,7.04E-06,3.04E-06,388,0.013591842,0.027183684,0.054367368,0.06795921,0,0,0,0.013591842,0
TOP1MT,51,26,83,106,13,3,13,12,22,368,2.55E-05,1.20E-05,1.97E-06,905,0.531774178,0.271100561,0.865436407,1.105256134,0.135550281,0.031280834,0.135550281,0.125123336,0.229392783
TOP2A,24,14,71,79,4,0,0,8,13,1057,3.78E-05,1.26E-05,4.37E-06,1044,0.140994603,0.082246852,0.417109033,0.464107234,0.0234991,0,0,0.046998201,0.076372076
TOP2B,8,9,43,44,3,0,0,0,5,1131,3.83E-05,1.30E-05,4.01E-06,1127,0.047543839,0.053486819,0.255548133,0.261491113,0.01782894,0,0,0,0.029714899
TOP3A,35,23,87,105,6,0,6,12,12,565,3.27E-05,1.32E-05,2.99E-06,1029,0.266310036,0.175003738,0.661970661,0.798930108,0.045653149,0,0.045653149,0.091306298,0.091306298
TOP3B,11,14,56,63,3,0,1,3,4,482,3.36E-05,1.61E-05,2.04E-06,772,0.168630614,0.214620781,0.858483123,0.965793514,0.045990167,0,0.015330056,0.045990167,0.061320223
TOPAZ1,25,21,83,90,3,0,2,7,13,1030,3.77E-05,1.42E-05,3.66E-06,1493,0.122162218,0.102616263,0.405578563,0.439783984,0.014659466,0,0.009772977,0.034205421,0.063524353
